"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BHA9Y28U","journalArticle","2015","Ganin, Yaroslav; Ustinova, Evgeniya; Ajakan, Hana; Germain, Pascal; Larochelle, Hugo; Laviolette, François; Marchand, Mario; Lempitsky, Victor","Domain-Adversarial Training of Neural Networks","","","","10.48550/arXiv.1505.07818","https://arxiv.org/abs/1505.07818v4","We introduce a new representation learning approach for domain adaptation, in which data at training and test time come from similar but different distributions. Our approach is directly inspired by the theory on domain adaptation suggesting that, for effective domain transfer to be achieved, predictions must be made based on features that cannot discriminate between the training (source) and test (target) domains. The approach implements this idea in the context of neural network architectures that are trained on labeled data from the source domain and unlabeled data from the target domain (no labeled target-domain data is necessary). As the training progresses, the approach promotes the emergence of features that are (i) discriminative for the main learning task on the source domain and (ii) indiscriminate with respect to the shift between the domains. We show that this adaptation behaviour can be achieved in almost any feed-forward model by augmenting it with few standard layers and a new gradient reversal layer. The resulting augmented architecture can be trained using standard backpropagation and stochastic gradient descent, and can thus be implemented with little effort using any of the deep learning packages. We demonstrate the success of our approach for two distinct classification problems (document sentiment analysis and image classification), where state-of-the-art domain adaptation performance on standard benchmarks is achieved. We also validate the approach for descriptor learning task in the context of person re-identification application.","2015-05-28","2022-06-07 01:12:13","2023-05-14 16:47:31","2022-06-07 01:12:13","","","","","","","","","","","","","","en","","","","","arxiv.org","","","","/Users/patrickmineault/Zotero/storage/X5N5UKQH/Ganin et al. - 2016 - Domain-adversarial training of neural networks.pdf; /Users/patrickmineault/Zotero/storage/JS7GWRX7/1505.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YKG67LQA","preprint","2020","Arjovsky, Martin; Bottou, Léon; Gulrajani, Ishaan; Lopez-Paz, David","Invariant Risk Minimization","","","","10.48550/arXiv.1907.02893","http://arxiv.org/abs/1907.02893","We introduce Invariant Risk Minimization (IRM), a learning paradigm to estimate invariant correlations across multiple training distributions. To achieve this goal, IRM learns a data representation such that the optimal classifier, on top of that data representation, matches for all training distributions. Through theory and experiments, we show how the invariances learned by IRM relate to the causal structures governing the data and enable out-of-distribution generalization.","2020-03-27","2023-03-12 16:45:36","2023-03-12 16:45:36","2023-03-12 16:45:36","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1907.02893 [cs, stat]","","/Users/patrickmineault/Zotero/storage/N8VVTUB4/Arjovsky et al. - 2020 - Invariant Risk Minimization.pdf; /Users/patrickmineault/Zotero/storage/XMUBEJ5H/1907.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1907.02893","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQZE6GRY","conferencePaper","2007","Bottou, Léon","The tradeoffs of large scale learning","NeurIPS","","","","https://proceedings.neurips.cc/paper/2007/file/0d3180d672e08b4c5312dcdafdf6ef36-Paper.pdf","This contribution develops a theoretical framework that takes into account the effect of approximate optimization on learning algorithms. The analysis shows distinct tradeoffs for the case of small-scale and large-scale learning problems. Small-scale learning problems are subject to the usual approximation–estimation tradeoff. Large-scale learning problems are subject to a qualitatively different tradeoff involving the computational complexity of the underlying optimization algorithms in non-trivial ways.","2007","2023-04-18 21:47:34","2023-04-19 00:58:30","","","","","","","","","","","","","","","","","","","","","","","","/Users/patrickmineault/Zotero/storage/EMWXNCDF/Bottou - 2007 - The tradeoffs of large scale learning.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NDBTBAA","preprint","2023","Garg, Shivam; Tsipras, Dimitris; Liang, Percy; Valiant, Gregory","What Can Transformers Learn In-Context? A Case Study of Simple Function Classes","","","","10.48550/arXiv.2208.01066","http://arxiv.org/abs/2208.01066","In-context learning refers to the ability of a model to condition on a prompt sequence consisting of in-context examples (input-output pairs corresponding to some task) along with a new query input, and generate the corresponding output. Crucially, in-context learning happens only at inference time without any parameter updates to the model. While large language models such as GPT-3 exhibit some ability to perform in-context learning, it is unclear what the relationship is between tasks on which this succeeds and what is present in the training data. To make progress towards understanding in-context learning, we consider the well-defined problem of training a model to in-context learn a function class (e.g., linear functions): that is, given data derived from some functions in the class, can we train a model to in-context learn ""most"" functions from this class? We show empirically that standard Transformers can be trained from scratch to perform in-context learning of linear functions -- that is, the trained model is able to learn unseen linear functions from in-context examples with performance comparable to the optimal least squares estimator. In fact, in-context learning is possible even under two forms of distribution shift: (i) between the training data of the model and inference-time prompts, and (ii) between the in-context examples and the query input during inference. We also show that we can train Transformers to in-context learn more complex function classes -- namely sparse linear functions, two-layer neural networks, and decision trees -- with performance that matches or exceeds task-specific learning algorithms. Our code and models are available at https://github.com/dtsip/in-context-learning .","2023-01-14","2023-04-19 05:08:06","2023-05-14 16:50:07","2023-04-19 05:08:06","","","","","","","What Can Transformers Learn In-Context?","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2208.01066 [cs]","","/Users/patrickmineault/Zotero/storage/B4JUV7EC/Garg et al. - 2023 - What Can Transformers Learn In-Context A Case Stu.pdf; /Users/patrickmineault/Zotero/storage/BU45KQEE/2208.html","","","Computer Science - Computation and Language; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2208.01066","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NLMRHGT","preprint","2022","HaoChen, Jeff Z.; Wei, Colin; Gaidon, Adrien; Ma, Tengyu","Provable Guarantees for Self-Supervised Deep Learning with Spectral Contrastive Loss","","","","10.48550/arXiv.2106.04156","http://arxiv.org/abs/2106.04156","Recent works in self-supervised learning have advanced the state-of-the-art by relying on the contrastive learning paradigm, which learns representations by pushing positive pairs, or similar examples from the same class, closer together while keeping negative pairs far apart. Despite the empirical successes, theoretical foundations are limited -- prior analyses assume conditional independence of the positive pairs given the same class label, but recent empirical applications use heavily correlated positive pairs (i.e., data augmentations of the same image). Our work analyzes contrastive learning without assuming conditional independence of positive pairs using a novel concept of the augmentation graph on data. Edges in this graph connect augmentations of the same data, and ground-truth classes naturally form connected sub-graphs. We propose a loss that performs spectral decomposition on the population augmentation graph and can be succinctly written as a contrastive learning objective on neural net representations. Minimizing this objective leads to features with provable accuracy guarantees under linear probe evaluation. By standard generalization bounds, these accuracy guarantees also hold when minimizing the training contrastive loss. Empirically, the features learned by our objective can match or outperform several strong baselines on benchmark vision datasets. In all, this work provides the first provable analysis for contrastive learning where guarantees for linear probe evaluation can apply to realistic empirical settings.","2022-06-23","2023-04-19 05:09:33","2023-04-19 05:09:33","2023-04-19 05:09:33","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2106.04156 [cs, stat]","","/Users/patrickmineault/Zotero/storage/JVFCMJ5M/HaoChen et al. - 2022 - Provable Guarantees for Self-Supervised Deep Learn.pdf; /Users/patrickmineault/Zotero/storage/P7CYBTNG/2106.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2106.04156","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F5HXNRL3","preprint","2021","Lester, Brian; Al-Rfou, Rami; Constant, Noah","The Power of Scale for Parameter-Efficient Prompt Tuning","","","","10.48550/arXiv.2104.08691","http://arxiv.org/abs/2104.08691","In this work, we explore ""prompt tuning"", a simple yet effective mechanism for learning ""soft prompts"" to condition frozen language models to perform specific downstream tasks. Unlike the discrete text prompts used by GPT-3, soft prompts are learned through backpropagation and can be tuned to incorporate signal from any number of labeled examples. Our end-to-end learned approach outperforms GPT-3's ""few-shot"" learning by a large margin. More remarkably, through ablations on model size using T5, we show that prompt tuning becomes more competitive with scale: as models exceed billions of parameters, our method ""closes the gap"" and matches the strong performance of model tuning (where all model weights are tuned). This finding is especially relevant in that large models are costly to share and serve, and the ability to reuse one frozen model for multiple downstream tasks can ease this burden. Our method can be seen as a simplification of the recently proposed ""prefix tuning"" of Li and Liang (2021), and we provide a comparison to this and other similar approaches. Finally, we show that conditioning a frozen model with soft prompts confers benefits in robustness to domain transfer, as compared to full model tuning.","2021-09-02","2023-04-19 05:09:56","2023-04-19 05:09:56","2023-04-19 05:09:56","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2104.08691 [cs]","","/Users/patrickmineault/Zotero/storage/S37S22N3/Lester et al. - 2021 - The Power of Scale for Parameter-Efficient Prompt .pdf; /Users/patrickmineault/Zotero/storage/5WPHPW94/2104.html","","","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2104.08691","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIJY3AU6","preprint","2021","Nagarajan, Vaishnavh; Andreassen, Anders; Neyshabur, Behnam","Understanding the Failure Modes of Out-of-Distribution Generalization","","","","10.48550/arXiv.2010.15775","http://arxiv.org/abs/2010.15775","Empirical studies suggest that machine learning models often rely on features, such as the background, that may be spuriously correlated with the label only during training time, resulting in poor accuracy during test-time. In this work, we identify the fundamental factors that give rise to this behavior, by explaining why models fail this way {\em even} in easy-to-learn tasks where one would expect these models to succeed. In particular, through a theoretical study of gradient-descent-trained linear classifiers on some easy-to-learn tasks, we uncover two complementary failure modes. These modes arise from how spurious correlations induce two kinds of skews in the data: one geometric in nature, and another, statistical in nature. Finally, we construct natural modifications of image classification datasets to understand when these failure modes can arise in practice. We also design experiments to isolate the two failure modes when training modern neural networks on these datasets.","2021-04-29","2023-04-19 05:11:04","2023-04-19 05:11:04","2023-04-19 05:11:04","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2010.15775 [cs, stat]","","/Users/patrickmineault/Zotero/storage/2IH2HHVF/Nagarajan et al. - 2021 - Understanding the Failure Modes of Out-of-Distribu.pdf; /Users/patrickmineault/Zotero/storage/ID2SRCHK/2010.html","","","Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2010.15775","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACK5HXZF","preprint","2022","Bubeck, Sébastien; Sellke, Mark","A Universal Law of Robustness via Isoperimetry","","","","10.48550/arXiv.2105.12806","http://arxiv.org/abs/2105.12806","Classically, data interpolation with a parametrized model class is possible as long as the number of parameters is larger than the number of equations to be satisfied. A puzzling phenomenon in deep learning is that models are trained with many more parameters than what this classical theory would suggest. We propose a partial theoretical explanation for this phenomenon. We prove that for a broad class of data distributions and model classes, overparametrization is necessary if one wants to interpolate the data smoothly. Namely we show that smooth interpolation requires $d$ times more parameters than mere interpolation, where $d$ is the ambient data dimension. We prove this universal law of robustness for any smoothly parametrized function class with polynomial size weights, and any covariate distribution verifying isoperimetry. In the case of two-layers neural networks and Gaussian covariates, this law was conjectured in prior work by Bubeck, Li and Nagaraj. We also give an interpretation of our result as an improved generalization bound for model classes consisting of smooth functions.","2022-12-23","2023-04-19 05:11:25","2023-04-19 05:11:25","2023-04-19 05:11:25","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2105.12806 [cs, stat]","","/Users/patrickmineault/Zotero/storage/V3DFGHK5/Bubeck and Sellke - 2022 - A Universal Law of Robustness via Isoperimetry.pdf; /Users/patrickmineault/Zotero/storage/4KEVS4TU/2105.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2105.12806","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5YQUH8Z","preprint","2021","Caron, Mathilde; Touvron, Hugo; Misra, Ishan; Jégou, Hervé; Mairal, Julien; Bojanowski, Piotr; Joulin, Armand","Emerging Properties in Self-Supervised Vision Transformers","","","","10.48550/arXiv.2104.14294","http://arxiv.org/abs/2104.14294","In this paper, we question if self-supervised learning provides new properties to Vision Transformer (ViT) that stand out compared to convolutional networks (convnets). Beyond the fact that adapting self-supervised methods to this architecture works particularly well, we make the following observations: first, self-supervised ViT features contain explicit information about the semantic segmentation of an image, which does not emerge as clearly with supervised ViTs, nor with convnets. Second, these features are also excellent k-NN classifiers, reaching 78.3% top-1 on ImageNet with a small ViT. Our study also underlines the importance of momentum encoder, multi-crop training, and the use of small patches with ViTs. We implement our findings into a simple self-supervised method, called DINO, which we interpret as a form of self-distillation with no labels. We show the synergy between DINO and ViTs by achieving 80.1% top-1 on ImageNet in linear evaluation with ViT-Base.","2021-05-24","2023-04-19 05:11:52","2023-04-19 05:11:52","2023-04-19 05:11:52","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2104.14294 [cs]","","/Users/patrickmineault/Zotero/storage/DISN9VCJ/Caron et al. - 2021 - Emerging Properties in Self-Supervised Vision Tran.pdf; /Users/patrickmineault/Zotero/storage/CLQJF45P/2104.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2104.14294","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWQJ7GBH","preprint","2021","He, Kaiming; Chen, Xinlei; Xie, Saining; Li, Yanghao; Dollár, Piotr; Girshick, Ross","Masked Autoencoders Are Scalable Vision Learners","","","","10.48550/arXiv.2111.06377","http://arxiv.org/abs/2111.06377","This paper shows that masked autoencoders (MAE) are scalable self-supervised learners for computer vision. Our MAE approach is simple: we mask random patches of the input image and reconstruct the missing pixels. It is based on two core designs. First, we develop an asymmetric encoder-decoder architecture, with an encoder that operates only on the visible subset of patches (without mask tokens), along with a lightweight decoder that reconstructs the original image from the latent representation and mask tokens. Second, we find that masking a high proportion of the input image, e.g., 75%, yields a nontrivial and meaningful self-supervisory task. Coupling these two designs enables us to train large models efficiently and effectively: we accelerate training (by 3x or more) and improve accuracy. Our scalable approach allows for learning high-capacity models that generalize well: e.g., a vanilla ViT-Huge model achieves the best accuracy (87.8%) among methods that use only ImageNet-1K data. Transfer performance in downstream tasks outperforms supervised pre-training and shows promising scaling behavior.","2021-12-19","2023-04-19 05:12:10","2023-04-19 05:12:10","2023-04-19 05:12:10","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2111.06377 [cs]","","/Users/patrickmineault/Zotero/storage/VILLQ59S/He et al. - 2021 - Masked Autoencoders Are Scalable Vision Learners.pdf; /Users/patrickmineault/Zotero/storage/PT7R2QT4/2111.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2111.06377","","","","","","","","","","","","","","","","","","","","","","","","","","",""
